Date,Last Price
27/01/2022,13352.78
26/01/2022,13542.12
25/01/2022,13539.29
24/01/2022,13855.13
21/01/2022,13768.92
20/01/2022,14154.02
19/01/2022,14340.25
18/01/2022,14506.9
14/01/2022,14893.75
13/01/2022,14806.81
12/01/2022,15188.39
11/01/2022,15153.45
10/01/2022,14942.83
07/01/2022,14935.9
06/01/2022,15080.87
05/01/2022,15100.17
04/01/2022,15622.72
03/01/2022,15832.8
31/12/2021,15644.97
30/12/2021,15741.56
29/12/2021,15766.22
28/12/2021,15781.72
27/12/2021,15871.26
23/12/2021,15653.37
22/12/2021,15521.89
21/12/2021,15341.09
20/12/2021,14980.94
17/12/2021,15169.68
16/12/2021,15180.43
15/12/2021,15565.58
14/12/2021,15237.64
13/12/2021,15413.28
10/12/2021,15630.6
09/12/2021,15517.37
08/12/2021,15786.99
07/12/2021,15686.92
06/12/2021,15225.15
03/12/2021,15085.47
02/12/2021,15381.32
01/12/2021,15254.05
30/11/2021,15537.69
29/11/2021,15782.83
26/11/2021,15491.66
24/11/2021,15845.23
23/11/2021,15775.14
22/11/2021,15854.76
19/11/2021,16057.44
18/11/2021,15993.71
17/11/2021,15921.57
16/11/2021,15973.86
15/11/2021,15853.85
12/11/2021,15860.96
11/11/2021,15704.28
10/11/2021,15622.71
09/11/2021,15886.54
08/11/2021,15982.36
05/11/2021,15971.59
04/11/2021,15940.31
03/11/2021,15811.58
02/11/2021,15649.6
01/11/2021,15595.92
29/10/2021,15498.39
28/10/2021,15448.12
27/10/2021,15235.84
26/10/2021,15235.71
25/10/2021,15226.71
22/10/2021,15090.2
21/10/2021,15215.7
20/10/2021,15121.68
19/10/2021,15129.09
18/10/2021,15021.81
15/10/2021,14897.34
14/10/2021,14823.43
13/10/2021,14571.63
12/10/2021,14465.92
11/10/2021,14486.2
08/10/2021,14579.54
07/10/2021,14654.02
06/10/2021,14501.91
05/10/2021,14433.83
04/10/2021,14255.48
01/10/2021,14566.7
30/09/2021,14448.58
29/09/2021,14512.44
28/09/2021,14546.68
27/09/2021,14969.97
24/09/2021,15047.7
23/09/2021,15052.24
22/09/2021,14896.85
21/09/2021,14746.4
20/09/2021,14713.9
17/09/2021,15043.97
16/09/2021,15181.92
15/09/2021,15161.53
14/09/2021,15037.76
13/09/2021,15105.58
10/09/2021,15115.49
09/09/2021,15248.25
08/09/2021,15286.64
07/09/2021,15374.33
03/09/2021,15363.52
02/09/2021,15331.18
01/09/2021,15309.38
31/08/2021,15259.24
30/08/2021,15265.89
27/08/2021,15129.5
26/08/2021,14945.81
25/08/2021,15041.86
24/08/2021,15019.8
23/08/2021,14942.65
20/08/2021,14714.66
19/08/2021,14541.79
18/08/2021,14525.91
17/08/2021,14656.18
16/08/2021,14793.76
13/08/2021,14822.9
12/08/2021,14816.26
11/08/2021,14765.13
10/08/2021,14788.09
09/08/2021,14860.18
06/08/2021,14835.76
05/08/2021,14895.12
04/08/2021,14780.53
03/08/2021,14761.29
02/08/2021,14681.07
30/07/2021,14672.68
29/07/2021,14778.26
28/07/2021,14762.58
27/07/2021,14660.58
26/07/2021,14840.71
23/07/2021,14836.99
22/07/2021,14684.6
21/07/2021,14631.95
20/07/2021,14498.88
19/07/2021,14274.98
16/07/2021,14427.24
15/07/2021,14543.13
14/07/2021,14644.95
13/07/2021,14677.65
12/07/2021,14733.24
09/07/2021,14701.92
08/07/2021,14559.79
07/07/2021,14665.06
06/07/2021,14663.64
02/07/2021,14639.33
01/07/2021,14522.38
30/06/2021,14503.95
29/06/2021,14528.33
28/06/2021,14500.51
25/06/2021,14360.39
24/06/2021,14369.71
23/06/2021,14271.73
22/06/2021,14253.27
21/06/2021,14141.48
18/06/2021,14030.38
17/06/2021,14161.35
16/06/2021,14039.68
15/06/2021,14072.86
14/06/2021,14174.14
11/06/2021,14069.42
10/06/2021,14020.33
09/06/2021,13911.75
08/06/2021,13924.91
07/06/2021,13881.72
04/06/2021,13814.49
03/06/2021,13614.51
02/06/2021,13756.33
01/06/2021,13736.48
28/05/2021,13748.74
27/05/2021,13736.28
26/05/2021,13738
25/05/2021,13657.17
24/05/2021,13661.17
21/05/2021,13470.99
20/05/2021,13535.74
19/05/2021,13299.74
18/05/2021,13303.64
17/05/2021,13379.05
14/05/2021,13429.98
13/05/2021,13124.99
12/05/2021,13031.68
11/05/2021,13389.43
10/05/2021,13401.86
07/05/2021,13752.24
06/05/2021,13632.84
05/05/2021,13582.42
04/05/2021,13633.5
03/05/2021,13895.12
30/04/2021,13962.68
29/04/2021,14082.55
28/04/2021,14051.03
27/04/2021,14090.22
26/04/2021,14138.78
23/04/2021,14016.81
22/04/2021,13818.41
21/04/2021,13950.22
20/04/2021,13786.27
19/04/2021,13914.77
16/04/2021,14052.34
15/04/2021,14038.76
14/04/2021,13857.84
13/04/2021,13996.1
12/04/2021,13850
09/04/2021,13900.19
08/04/2021,13829.31
07/04/2021,13688.84
06/04/2021,13698.38
05/04/2021,13705.59
01/04/2021,13480.11
31/03/2021,13246.87
30/03/2021,13045.39
29/03/2021,13059.65
26/03/2021,13138.72
25/03/2021,12977.68
24/03/2021,12961.89
23/03/2021,13227.7
22/03/2021,13377.54
19/03/2021,13215.24
18/03/2021,13116.17
17/03/2021,13525.2
16/03/2021,13471.57
15/03/2021,13459.71
12/03/2021,13319.86
11/03/2021,13398.67
10/03/2021,13068.83
09/03/2021,13073.82
08/03/2021,12609.16
05/03/2021,12920.15
04/03/2021,12723.47
03/03/2021,12997.75
02/03/2021,13358.79
01/03/2021,13588.83
26/02/2021,13192.35
25/02/2021,13119.43
24/02/2021,13597.97
23/02/2021,13465.2
22/02/2021,13533.05
19/02/2021,13874.47
18/02/2021,13865.36
17/02/2021,13965.5
16/02/2021,14047.5
12/02/2021,14095.47
11/02/2021,14025.77
10/02/2021,13972.53
09/02/2021,14007.7
08/02/2021,13987.64
05/02/2021,13856.3
04/02/2021,13777.74
03/02/2021,13610.54
02/02/2021,13612.78
01/02/2021,13403.39
29/01/2021,13070.69
28/01/2021,13337.16
27/01/2021,13270.6
26/01/2021,13626.06
25/01/2021,13635.99
22/01/2021,13543.06
21/01/2021,13530.92
20/01/2021,13457.25
19/01/2021,13197.18
15/01/2021,12998.5
14/01/2021,13112.64
13/01/2021,13128.95
12/01/2021,13072.43
11/01/2021,13036.43
08/01/2021,13201.98
07/01/2021,13067.48
06/01/2021,12740.79
