0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
5954483.608056653,5698575.849551363,5442668.091046071,5186760.33254078,4930852.574035489,4674944.815530197,4419037.057024906,4163129.298519615,3907221.5400143242,3651313.7815090325,3395406.023003741,3139498.26449845,2883590.5059931586,2627682.7474878677,2371774.9889825764,2115867.2304772846,1859959.4719719938,1604051.7134667025,1348143.9549614112,1092236.19645612,836328.4379508287
6762077.542616336,6508202.597317349,6254327.677018362,6000452.781719375,5746577.911420388,5492703.066121401,5238828.245822415,4984953.450523427,4731078.68022444,4477203.934925454,4223329.214626466,3969454.5193274794,3715579.8490284923,3461705.203729505,3207830.583430519,2953955.9881315315,2700081.417832545,2446206.8725335575,2192332.352234571,1938457.8569355838,1684583.3866365969
7620057.37149404,7365519.2505552955,7110981.154616551,6856443.083677806,6601905.037739062,6347367.016800316,6092829.020861573,5838291.049922827,5583753.103984082,5329215.183045338,5074677.287106593,4820139.416167849,4565601.570229104,4311063.749290358,4056525.953351614,3801988.1824128693,3547450.436474125,3292912.71553538,3038375.0195966354,2783837.348657891,2529299.702719146
8456595.652979953,8202612.0280754315,7948628.428170909,7694644.853266389,7440661.303361868,7186677.778457345,6932694.278552826,6678710.803648303,6424727.353743783,6170743.928839262,5916760.5289347395,5662777.154030219,5408793.804125697,5154810.479221175,4900827.179316655,4646843.904412134,4392860.654507612,4138877.4296030905,3884894.229698569,3630911.054794048,3376927.904889527
9284383.784611534,9031757.537393462,8779131.315175395,8526505.117957324,8273878.945739254,8021252.798521183,7768626.676303115,7516000.579085044,7263374.506866974,7010748.459648904,6758122.437430834,6505496.440212765,6252870.467994695,6000244.520776625,5747618.598558555,5494992.701340484,5242366.829122415,4989740.981904345,4737115.159686275,4484489.362468205,4231863.5902501345
10145898.667915456,9892816.93715616,9639735.231396861,9386653.550637566,9133571.894878268,8880490.26411897,8627408.658359673,8374327.077600376,8121245.52184108,7868163.991081783,7615082.485322485,7362001.004563189,7108919.548803891,6855838.118044593,6602756.712285298,6349675.331526,6096593.975766703,5843512.645007405,5590431.339248109,5337350.058488811,5084268.802729514
10961306.71049507,10710758.305022147,10460209.924549226,10209661.569076303,9959113.23860338,9708564.933130456,9458016.652657533,9207468.397184612,8956920.16671169,8706371.961238764,8455823.780765843,8205275.6252929205,7954727.494819998,7704179.389347075,7453631.308874153,7203083.253401229,6952535.222928307,6701987.217455384,6451439.236982461,6200891.281509538,5950343.351036616
11818399.918311587,11568453.755712079,11318507.618112573,11068561.505513066,10818615.417913558,10568669.355314052,10318723.317714544,10068777.305115039,9818831.317515532,9568885.354916023,9318939.417316515,9068993.50471701,8819047.617117504,8569101.754517997,8319155.916918489,8069210.104318981,7819264.316719474,7569318.554119967,7319372.81652046,7069427.103920953,6819481.416321445
12736569.260477027,12483206.338241778,12229843.441006532,11976480.568771284,11723117.721536037,11469754.899300788,11216392.10206554,10963029.329830294,10709666.582595047,10456303.860359797,10202941.16312455,9949578.490889302,9696215.843654055,9442853.221418807,9189490.624183558,8936128.05194831,8682765.504713062,8429402.982477818,8176040.485242568,7922678.01300732,7669315.565772072
13597175.371314127,13343096.599733511,13089017.853152897,12834939.13157228,12580860.434991661,12326781.763411047,12072703.11683043,11818624.495249815,11564545.8986692,11310467.327088581,11056388.780507965,10802310.258927349,10548231.762346733,10294153.290766118,10040074.844185501,9785996.422604885,9531918.026024267,9277839.654443653,9023761.307863036,8769682.98628242,8515604.689701803
14454466.905534089,14199676.19113135,13944885.501728615,13690094.837325878,13435304.197923139,13180513.583520401,12925722.994117664,12670932.429714927,12416141.890312191,12161351.375909451,11906560.886506714,11651770.422103977,11396979.982701242,11142189.568298504,10887399.178895764,10632608.814493028,10377818.47509029,10123028.160687555,9868237.871284816,9613447.606882079,9358657.367479341
15259605.480690371,15007342.55879929,14755079.661908211,14502816.790017132,14250553.943126049,13998291.121234968,13746028.32434389,13493765.55245281,13241502.805561729,12989240.083670648,12736977.386779567,12484714.714888487,12232452.067997407,11980189.446106328,11727926.849215245,11475664.277324166,11223401.730433084,10971139.208542006,10718876.711650925,10466614.239759844,10214351.792868763
16129339.205357142,15876125.084016211,15622910.987675283,15369696.916334353,15116482.869993422,14863268.848652493,14610054.852311563,14356840.880970633,14103626.934629703,13850413.013288772,13597199.11694784,13343985.24560691,13090771.399265982,12837557.577925052,12584343.781584121,12331130.010243192,12077916.26390226,11824702.542561332,11571488.846220402,11318275.17487947,11065061.52853854
17003051.08842161,16748323.000630839,16493594.93784007,16238866.900049303,15984138.887258533,15729410.899467764,15474682.936676994,15219954.998886228,14965227.08609546,14710499.198304689,14455771.33551392,14201043.497723151,13946315.684932385,13691587.897141615,13436860.134350846,13182132.396560077,12927404.683769308,12672676.99597854,12417949.333187772,12163221.695397,11908494.082606234
17860158.068606697,17604442.41782546,17348726.792044226,17093011.191262994,16837295.615481757,16581580.064700522,16325864.538919287,16070149.038138052,15814433.562356818,15558718.111575581,15303002.685794346,15047287.285013111,14791571.909231879,14535856.558450643,14280141.232669408,14024425.931888172,13768710.656106938,13512995.405325703,13257280.17954447,13001564.978763232,12745849.802981999
18727303.438615613,18469513.743895106,18211724.0741746,17953934.429454096,17696144.80973359,17438355.215013083,17180565.645292576,16922776.100572072,16664986.580851566,16407197.086131057,16149407.616410552,15891618.171690045,15633828.751969539,15376039.357249033,15118249.987528525,14860460.64280802,14602671.323087513,14344882.028367009,14087092.758646501,13829303.513925994,13571514.294205489
19581478.343984105,19321751.506632872,19062024.694281645,18802297.906930413,18542571.144579183,18282844.407227956,18023117.694876727,17763391.007525496,17503664.345174268,17243937.707823034,16984211.095471807,16724484.508120576,16464757.945769347,16205031.408418119,15945304.896066887,15685578.408715658,15425851.946364429,15166125.5090132,14906399.09666197,14646672.709310738,14386946.346959509
20504413.046946988,20237349.808417525,19970286.594888065,19703223.406358603,19436160.24282914,19169097.10429968,18902033.990770217,18634970.902240753,18367907.83871129,18100844.80018183,17833781.786652368,17566718.7981229,17299655.83459344,17032592.89606398,16765529.982534517,16498467.094005056,16231404.230475591,15964341.391946131,15697278.578416668,15430215.789887205,15163153.026357744
21351319.213715732,21079468.42584866,20807617.66298159,20535766.925114512,20263916.212247435,19992065.524380364,19720214.86151329,19448364.223646216,19176513.610779144,18904663.022912066,18632812.460044995,18360961.92217792,18089111.409310848,17817260.92144377,17545410.458576698,17273560.020709623,17001709.60784255,16729859.219975475,16458008.857108403,16186158.519241326,15914308.206374254
22136387.47434576,21862265.815982837,21588144.18261992,21314022.574256994,21039900.99089407,20765779.432531152,20491657.89916823,20217536.390805308,19943414.907442387,19669293.449079465,19395172.015716545,19121050.607353624,18846929.2239907,18572807.86562778,18298686.53226486,18024565.22390194,17750443.940539017,17476322.682176095,17202201.448813174,16928080.24045025,16653959.057087332
22920720.062279142,22643594.393747058,22366468.750214975,22089343.13168289,21812217.538150806,21535091.969618723,21257966.426086638,20980840.907554556,20703715.41402247,20426589.945490386,20149464.501958303,19872339.08342622,19595213.689894136,19318088.321362052,19040962.977829967,18763837.659297884,18486712.3657658,18209587.097233716,17932461.853701632,17655336.635169547,17378211.441637464
23695234.464748584,23414796.743845608,23134359.047942635,22853921.377039663,22573483.731136687,22293046.110233713,22012608.514330737,21732170.943427764,21451733.39752479,21171295.876621813,20890858.38071884,20610420.909815863,20329983.463912893,20049546.04300992,19769108.64710694,19488671.276203968,19208233.930300992,18927796.60939802,18647359.313495044,18366922.042592067,18086484.796689093
