Observation,Absolute Change,Previous Absolute Change,Centered Mean (w=6),Centered Std (w=6),Left Mean (w=6),Left Std (w=6),Right Mean (w=6),Right Std (w=6),Centered Mean (w=14),Centered Std (w=14),Left Mean (w=14),Left Std (w=14),Right Mean (w=14),Right Std (w=14)
-0.0018682160876369344,7.853609515036928e-05,0.0028542641211784137,0.0025293656295644414,0.005654924386175643,0.005923168576272768,0.0065268173275127425,-0.0008644373171438837,0.001671043022615217,0.0016460171263631518,0.00542454456400409,0.0011034384531024223,0.005967192884361609,0.002188595799623881,0.00524035718090418
-0.004561218960499248,0.002693002872862314,7.853609515036928e-05,-0.00044603125720918375,0.0028716911471275866,0.0018476424991225487,0.0015309246996470644,-0.0027397050135409156,0.001577966024280358,0.0009055443219669362,0.005519803509997532,0.0002946636700928151,0.0055957967912462145,0.0015164249738410576,0.005816426415643132
0.002467506870546222,0.00702872583104547,0.002693002872862314,-0.0006367307890958331,0.0025705384982877572,4.7181147671654216e-05,0.0015938443067925444,-0.0013206427258633205,0.003546212647585379,0.000735501044563272,0.005424857852731362,0.0015008136137992412,0.007369635294069135,-2.9811524672697154e-05,0.002843386554330065
0.0038778891745971343,0.0014103823040509124,0.00702872583104547,-0.0001348558111312572,0.0031511503190475654,-0.0008644373171438837,0.001671043022615217,0.0005947256948813693,0.004520521930917486,0.0010782176205374465,0.005463636127898894,0.002148220321071731,0.007320405569232269,8.21492000316232e-06,0.002901391892944833
-0.0013810200495204424,0.005258909224117577,0.0014103823040509124,-0.0005424565074999724,0.0031230171578101695,-0.0027397050135409156,0.001577966024280358,0.0016547919985409711,0.0027220232648273077,0.00026054390584632413,0.00483550255797448,0.0008339670854509319,0.006434074478160692,-0.0003128792737582838,0.0029148990978101886
0.00694329219945019,0.008324312248970633,0.005258909224117577,0.0009130388578228202,0.004255261391997693,-0.0013206427258633205,0.003546212647585379,0.0031467204415089605,0.004210047433435275,0.0008495938528623831,0.005124020125621937,0.0011722515408032867,0.006364846786873071,0.0005269361649214795,0.004016578347480366
-0.0027309544033780804,0.009674246602828271,0.008324312248970633,0.0007692491385326291,0.004380764830184853,0.0005947256948813693,0.004520521930917486,0.000943772582183889,0.005239394756878283,0.0011276181799616894,0.004781508147309785,0.0018627679679864009,0.00559363403008976,0.0003924683919369771,0.004121447544838666
-0.015266997123258673,0.012536042719880593,0.009674246602828271,-0.001015047221927275,0.007817934835866042,0.0016547919985409711,0.0027220232648273077,-0.0036848864423955213,0.011135830804251061,0.00033347630752173337,0.006381029577664966,0.002188595799623881,0.00524035718090418,-0.0015216431845804141,0.007261535457498528
-4.926626851562905e-05,0.015217730854743044,0.012536042719880593,-0.0014345094117709167,0.007659626415954726,0.0031467204415089605,0.004210047433435275,-0.006015739265050794,0.008123250075090344,0.00031967322977200874,0.006381679997026434,0.0015164249738410576,0.005816426415643132,-0.0008770785142970398,0.007146094630276683
0.002978482014454758,0.003027748282970387,0.015217730854743044,-0.0015844106051279795,0.007542777691816642,0.000943772582183889,0.005239394756878283,-0.0041125937924398484,0.009777901112518684,-0.00041694679491997296,0.005267090290306406,-2.9811524672697154e-05,0.002843386554330065,-0.0008040820651672489,0.00718843755638732
0.010501209245834659,0.007522727231379901,0.003027748282970387,0.0003959609440978707,0.009021719206080475,-0.0036848864423955213,0.011135830804251061,0.004476808330591262,0.005432482830800907,7.516071822063694e-05,0.005950015177631913,8.21492000316232e-06,0.002901391892944833,0.00014210651643811176,0.008263006455737828
-0.0013398218670696654,0.011841031112904325,0.007522727231379901,-0.000984558066988772,0.008434067655967766,-0.006015739265050794,0.008123250075090344,0.00404662313107325,0.005992344994903941,-8.244365134217338e-05,0.0059566565055139235,-0.0003128792737582838,0.0029148990978101886,0.00014799197107393693,0.008261755350743905
-0.002844775643782898,0.0015049537767132326,0.011841031112904325,-0.0010035282737229081,0.008438907941007611,-0.0041125937924398484,0.009777901112518684,0.0021055372449940318,0.0073096992227303925,-0.0003616836350903696,0.005990286966092677,0.0005269361649214795,0.004016578347480366,-0.0012503034351022183,0.007731252069312637
-0.005290064236196752,0.002445288592413854,0.0015049537767132326,0.0006592938741207454,0.0055572262532266,0.004476808330591262,0.005432482830800907,-0.003158220582349772,0.0019936874105151462,-0.0006117110810696686,0.006125988540573183,0.0003924683919369771,0.004121447544838666,-0.0016158905540763144,0.007872158892840757
-0.00653430360599632,0.001244239369799568,0.002445288592413854,-0.0004215456821260364,0.006303178888463852,0.00404662313107325,0.005992344994903941,-0.004889714495325323,0.0018770626207589736,-0.0009450030466667675,0.006323361391235543,-0.0015216431845804141,0.007261535457498528,-0.00036836290875312105,0.005755708957345376
-0.0029724385745919,0.00356186503140442,0.001244239369799568,-0.0014133657803004794,0.006126906953240629,0.0021055372449940318,0.0073096992227303925,-0.00493226880559499,0.0018076874185281666,-0.0008315187333876713,0.006267479350569399,-0.0008770785142970398,0.007146094630276683,-0.0007859589524783026,0.005834206541702323
-0.014758490266374956,0.011786051691783057,0.00356186503140442,-0.005623315699002082,0.004847434860952945,-0.003158220582349772,0.0019936874105151462,-0.008088410815654392,0.006044765548363225,-0.0020619471003106124,0.007192616283100571,-0.0008040820651672489,0.00718843755638732,-0.003319812135453976,0.007531550611501149
-0.0005440410496569979,0.014214449216717958,0.011786051691783057,-0.0054906855627666375,0.004996664701437531,-0.004889714495325323,0.0018770626207589736,-0.006091656630207952,0.0076032744651580424,-0.002377799259185908,0.007006393698424425,0.00014210651643811176,0.008263006455737828,-0.004897705034809927,0.004823580598951078
0.006477235028533429,0.007021276078190426,0.014214449216717958,-0.003937017117380583,0.007022538869157176,-0.00493226880559499,0.0018076874185281666,-0.002941765429166175,0.010819002673549556,-0.0018164953250392024,0.007396316019053536,0.00014799197107393693,0.008261755350743905,-0.003780982621152341,0.006423950302483553
0.000690372510626308,0.00578686251790712,0.007021276078190426,-0.00294027765957674,0.007213893842125863,-0.008088410815654392,0.006044765548363225,0.002207855496500913,0.0037485524407238143,-0.0022631324456694802,0.00700510309221976,-0.0012503034351022183,0.007731252069312637,-0.0032759614562367415,0.006644973457478847
-0.0026323282194585114,0.0033227007300848195,0.00578686251790712,-0.0022899484284871047,0.0069977362557984615,-0.006091656630207952,0.0076032744651580424,0.0015117597732337417,0.004609993863192409,-0.0022560877182466535,0.007004646011287716,-0.0016158905540763144,0.007872158892840757,-0.0028962848824169926,0.0065863825065291684
-0.009546120625670038,0.006913792406211526,0.0033227007300848195,-0.0033855621036667943,0.007613482642428199,-0.002941765429166175,0.010819002673549556,-0.003829358778167414,0.005222174791331938,-0.0018474536827046083,0.006320716403290143,-0.00036836290875312105,0.005755708957345376,-0.0033265444566560956,0.006951880791129379
-0.0017203790916220747,0.007825741534047963,0.006913792406211526,-0.0012125435745413142,0.005194667882256252,0.002207855496500913,0.0037485524407238143,-0.004632942645583542,0.00427929914833557,-0.0019668188843550687,0.006299890861794075,-0.0007859589524783026,0.005834206541702323,-0.0031476788162318344,0.0069785660536064945
0.0028365813641253,0.004556960455747374,0.007825741534047963,-0.0006491065055775979,0.005458326138914455,0.0015117597732337417,0.004609993863192409,-0.002809972784388938,0.006262845835042433,-0.001976954645092887,0.006291430912286759,-0.003319812135453976,0.007531550611501149,-0.0006340971547317979,0.0049829054941122105
