0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
94778.83775445516,90648.34635543884,86517.85495642252,82387.3635574062,78256.87215838989,74126.38075937355,69995.88936035725,65865.39796134092,61734.906562324606,57604.41516330828,53473.92376429196,49343.43236527564,45212.94096625932,41082.449567243,36951.95816822668,32821.466769210354,28690.975370194035,24560.48397117772,20429.992572161394,16299.501173145074,12169.009774128754
95803.69975962343,91599.23934803459,87394.77893644574,83190.3185248569,78985.85811326806,74781.3977016792,70576.93729009037,66372.47687850152,62168.01646691268,57963.55605532384,53759.09564373499,49554.635232146145,45350.1748205573,41145.71440896846,36941.253997379616,32736.793585790772,28532.33317420193,24327.872762613086,20123.41235102424,15918.951939435396,11714.49152784655
97904.04356063588,93559.49289278603,89214.94222493618,84870.39155708633,80525.84088923647,76181.29022138662,71836.73955353677,67492.1888856869,63147.63821783706,58803.087549987205,54458.53688213735,50113.98621428749,45769.43554643764,41424.88487858779,37080.334210737936,32735.78354288808,28391.232875038226,24046.682207188373,19702.13153933852,15357.580871488664,11013.030203638811
98422.94177044857,94041.19661814535,89659.45146584212,85277.7063135389,80895.96116123567,76514.21600893245,72132.47085662922,67750.72570432599,63368.980552022775,58987.235399719546,54605.49024741631,50223.74509511309,45841.99994280987,41460.25479050664,37078.50963820342,32696.764485900185,28315.01933359696,23933.27418129374,19551.52902899051,15169.783876687283,10788.038724384058
99021.91342646955,94597.60416110669,90173.29489574382,85748.98563038096,81324.6763650181,76900.36709965522,72476.05783429237,68051.7485689295,63627.43930356664,59203.13003820377,54778.8207728409,50354.51150747804,45930.20224211518,41505.892976752315,37081.58371138945,32657.274446026586,28232.965180663723,23808.65591530086,19384.346649937994,14960.03738457513,10535.728119212265
101077.87431602461,96517.7999450691,91957.72557411356,87397.65120315805,82837.57683220253,78277.502461247,73717.42809029148,69157.35371933595,64597.279348380434,60037.20497742491,55477.130606469385,50917.05623551386,46356.981864558344,41796.90749360282,37236.8331226473,32676.75875169177,28116.68438073625,23556.61000978073,18996.535638825204,14436.461267869681,9876.386896914159
104425.92814965223,99651.70579047581,94877.48343129938,90103.26107212294,85329.03871294651,80554.81635377007,75780.59399459366,71006.37163541722,66232.14927624079,61457.92691706436,56683.70455788792,51909.48219871149,47135.259839535065,42361.03748035863,37586.815121182204,32812.59276200576,28038.37040282934,23264.14804365291,18489.925684476475,13715.703325300045,8941.480966123612
106801.92978856614,101876.12256770449,96950.31534684284,92024.5081259812,87098.70090511953,82172.89368425788,77247.08646339623,72321.27924253458,67395.47202167293,62469.66480081128,57543.857579949625,52618.050359087974,47692.24313822633,42766.43591736468,37840.62869650303,32914.82147564137,27989.014254779722,23063.207033918072,18137.39981305642,13211.59259219477,8285.785371333117
108878.58426524658,103819.85358477902,98761.12290431144,93702.39222384388,88643.6615433763,83584.93086290875,78526.20018244119,73467.46950197361,68408.73882150605,63350.008141038474,58291.2774605709,53232.54678010333,48173.81609963577,43115.0854191682,38056.35473870063,32997.62405823306,27938.893377765493,22880.16269729793,17821.432016830357,12762.701336362788,7703.97065589522
106788.19718999162,101861.57828877459,96934.95938755755,92008.34048634052,87081.72158512347,82155.10268390641,77228.48378268939,72301.86488147234,67375.2459802553,62448.62707903826,57522.00817782122,52595.38927660418,47668.77037538714,42742.1514741701,37815.53257295306,32888.913671736016,27962.294770518976,23035.675869301936,18109.056968084897,13182.438066867855,8255.819165650813
107631.54894563905,102649.95634316912,97668.36374069918,92686.77113822925,87705.1785357593,82723.58593328937,77741.99333081944,72760.4007283495,67778.80812587957,62797.21552340963,57815.622920939684,52834.030318469755,47852.43771599982,42870.84511352988,37889.252511059945,32907.65990859001,27926.06730612007,22944.474703650136,17962.882101180196,12981.28949871026,7999.696896240323
108977.41006755817,103906.63863115865,98835.86719475914,93765.09575835962,88694.3243219601,83623.55288556058,78552.78144916106,73482.01001276154,68411.23857636203,63340.4671399625,58269.695703562975,53198.92426716346,48128.15283076394,43057.38139436442,37986.6099579649,32915.838521565376,27845.067085165858,22774.295648766343,17703.52421236682,12632.7527759673,7561.981339567779
