0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
183724042.7378332,175711074.02457154,167698105.31130984,159685136.59804818,151672167.8847865,143659199.1715248,135646230.45826313,127633261.74500142,119620293.03173976,111607324.31847806,103594355.60521637,95581386.89195469,87568418.17869301,79555449.46543132,71542480.75216964,63529512.038907945,55516543.32564627,47503574.61238459,39490605.8991229,31477637.185861215,23464668.472599532
185710130.69909382,177553918.395756,169397706.09241816,161241493.78908035,153085281.4857425,144929069.18240467,136772856.87906685,128616644.57572901,120460432.27239119,112304219.96905336,104148007.66571552,95991795.36237769,87835583.05903986,79679370.75570202,71523158.4523642,63366946.14902636,55210733.84568853,47054521.5423507,38898309.23901287,30742096.93567504,22585884.632337205
189780258.30560115,181352763.1435899,172925267.98157868,164497772.81956744,156070277.6575562,147642782.49554494,139215287.3335337,130787792.17152247,122360297.00951123,113932801.84749998,105505306.68548873,97077811.5234775,88650316.36146626,80222821.19945501,71795326.03744377,63367830.87543252,54940335.713421285,46512840.55141004,38085345.3893988,29657850.22738756,21230355.065376315
190785864.68305033,182286335.21990016,173786805.75674993,165287276.29359975,156787746.83044955,148288217.36729935,139788687.90414914,131289158.44099894,122789628.97784875,114290099.51469855,105790570.05154833,97291040.58839814,88791511.12524794,80291981.66209775,71792452.19894755,63292922.73579734,54793393.27264714,46293863.80949695,37794334.34634674,29294804.883196544,20795275.42004634
191946600.40430513,183364645.8482302,174782691.29215527,166200736.73608032,157618782.18000537,149036827.62393042,140454873.0678555,131872918.51178055,123290963.95570561,114709009.39963067,106127054.84355572,97545100.28748077,88963145.73140584,80381191.17533089,71799236.61925596,63217282.063181005,54635327.507106066,46053372.951031126,37471418.39495619,28889463.838881243,20307509.2828063
195930674.75559872,187085819.17489567,178240963.59419262,169396108.01348957,160551252.4327865,151706396.85208344,142861541.2713804,134016685.69067733,125171830.1099743,116326974.52927123,107482118.94856817,98637263.36786512,89792407.78716205,80947552.206459,72102696.62575595,63257841.045052886,54412985.46434983,45568129.88364678,36723274.302943714,27878418.72224066,19033563.141537603
202418530.9920266,193158989.77024204,183899448.54845744,174639907.32667288,165380366.1048883,156120824.8831037,146861283.66131914,137601742.43953454,128342201.21774998,119082659.99596539,109823118.7741808,100563577.55239624,91304036.33061166,82044495.10882708,72784953.88704251,63525412.665257916,54265871.44347334,45006330.22168876,35746788.99990418,26487247.778119598,17227706.556335017
207022766.09679666,197469684.76490194,187916603.4330072,178363522.10111248,168810440.76921776,159257359.437323,149704278.10542828,140151196.77353355,130598115.44163883,121045034.10974409,111491952.77784935,101938871.44595462,92385790.1140599,82832708.78216517,73279627.45027044,63726546.118375696,54173464.78648097,44620383.454586245,35067302.122691505,25514220.790796775,15961139.458902042
211046940.72480452,201236454.22114304,191425967.71748152,181615481.21382007,171804994.71015856,161994508.20649704,152184021.70283556,142373535.19917408,132563048.69551258,122752562.19185108,112942075.68818958,103131589.18452808,93321102.6808666,83510616.1772051,73700129.6735436,63889643.169882104,54079156.66622061,44268670.16255912,34458183.65889762,24647697.155236125,14837210.65157463
206996244.66833553,197441577.83951297,187886911.01069042,178332244.18186787,168777577.3530453,159222910.52422276,149668243.6954002,140113576.86657766,130558910.03775512,121004243.20893255,111449576.38010998,101894909.55128743,92340242.72246487,82785575.89364232,73230909.06481977,63676242.23599721,54121575.407174654,44566908.57835211,35012241.74952955,25457574.92070699,15902908.091884436
208630531.67481393,198969405.55182552,189308279.4288371,179647153.30584866,169986027.18286023,160324901.0598718,150663774.9368834,141002648.81389496,131341522.69090655,121680396.56791812,112019270.44492969,102358144.32194126,92697018.19895284,83035892.07596442,73374765.95297599,63713639.82998756,54052513.70699914,44391387.58401072,34730261.46102229,25069135.338033866,15408009.21504544
211238588.8377199,201404769.00222743,191570949.16673496,181737129.3312425,171903309.49575004,162069489.66025755,152235669.8247651,142401849.98927262,132568030.15378016,122734210.31828769,112900390.48279521,103066570.64730275,93232750.81181028,83398930.97631782,73565111.14082535,63731291.30533288,53897471.469840415,44063651.634347945,34229831.798855476,24396011.96336301,14562192.12787054
211172171.89780656,201339170.0752262,191506168.25264582,181673166.43006545,171840164.60748506,162007162.7849047,152174160.96232432,142341159.13974392,132508157.31716357,122675155.49458319,112842153.67200279,103009151.84942243,93176150.02684206,83343148.20426168,73510146.38168131,63677144.55910092,53844142.73652054,44011140.91394017,34178139.091359794,24345137.268779416,14512135.446199039
208019522.327965,198383690.7428321,188747859.15769917,179112027.57256627,169476195.98743334,159840364.40230042,150204532.81716752,140568701.2320346,130932869.6469017,121297038.06176877,111661206.47663586,102025374.89150295,92389543.30637003,82753711.72123712,73117880.13610421,63482048.550971285,53846216.96583837,44210385.38070546,34574553.79557254,24938722.21043963,15302890.625306716
203691993.43898973,194331343.78861696,184970694.13824412,175610044.48787135,166249394.83749855,156888745.1871257,147528095.53675294,138167445.88638014,128806796.23600733,119446146.58563453,110085496.93526171,100724847.28488892,91364197.63451612,82003547.98414332,72642898.33377053,63282248.68339771,53921599.033024915,44560949.38265211,35200299.73227931,25839650.081906505,16479000.431533704
206187386.23008248,196666851.33631745,187146316.44255236,177625781.54878733,168105246.65502226,158584711.76125717,149064176.86749214,139543641.97372708,130023107.07996202,120502572.18619695,110982037.29243188,101461502.39866683,91940967.50490177,82420432.6111367,72899897.71737164,63379362.82360658,53858827.929841526,44338293.036076464,34817758.1423114,25297223.24854634,15776688.354781277
206827987.853068,197268234.2882646,187708480.7234612,178148727.15865785,168588973.59385443,159029220.02905104,149469466.46424764,139909712.89944425,130349959.33464088,120790205.76983747,111230452.20503408,101670698.64023069,92110945.0754273,82551191.5106239,72991437.94582051,63431684.38101712,53871930.81621373,44312177.251410335,34752423.68660694,25192670.12180355,15632916.557000155
207529429.17070484,197925470.1285299,188321511.08635497,178717552.04418004,169113593.00200507,159509633.95983014,149905674.9176552,140301715.87548026,130697756.83330533,121093797.79113038,111489838.74895543,101885879.70678048,92281920.66460554,82677961.62243061,73074002.58025567,63470043.538080715,53866084.49590578,44262125.45373084,34658166.41155589,25054207.369380947,15450248.327206006
210686848.7793785,200883170.15093002,191079491.52248153,181275812.89403307,171472134.26558456,161668455.63713607,151864777.0086876,142061098.3802391,132257419.75179063,122453741.12334213,112650062.49489363,102846383.86644514,93042705.23799667,83239026.60954818,73435347.9810997,63631669.352651194,53827990.72420271,44024312.09575423,34220633.467305735,24416954.838857245,14613276.210408757
208916956.8443487,199223716.1532664,189530475.4621841,179837234.7711018,170143994.0800195,160450753.38893718,150757512.6978549,141064272.00677258,131371031.3156903,121677790.62460798,111984549.93352567,102291309.24244337,92598068.55136105,82904827.86027876,73211587.16919646,63518346.47811414,53825105.787031844,44131865.09594954,34438624.40486723,24745383.71378493,15052143.022702625
211611838.76009464,201748847.46126685,191885856.16243905,182022864.86361125,172159873.56478345,162296882.26595566,152433890.96712786,142570899.66830006,132707908.36947228,122844917.07064447,112981925.77181666,103118934.47298886,93255943.17416106,83392951.87533326,73529960.57650547,63666969.27767766,53803977.978849865,43940986.68002207,34077995.38119427,24215004.08236647,14352012.78353867
208280896.43957785,198627787.57190043,188974678.70422295,179321569.83654553,169668460.96886808,160015352.1011906,150362243.23351318,140709134.36583573,131056025.49815828,121402916.63048083,111749807.76280336,102096698.89512593,92443590.02744848,82790481.15977103,73137372.29209359,63484263.424416125,53831154.55673868,44178045.68906123,34524936.82138378,24871827.95370633,15218719.086028883
194738216.55857491,186034404.07887387,177330591.59917283,168626779.1194718,159922966.63977072,151219154.16006967,142515341.68036863,133811529.20066758,125107716.72096653,116403904.24126548,107700091.76156442,98996279.28186338,90292466.80216233,81588654.32246128,72884841.84276024,64181029.36305918,55477216.88335813,46773404.403657086,38069591.92395603,29365779.444254983,20661966.96455393
193500251.17996573,184864673.66595632,176229096.15194687,167593518.63793746,158957941.123928,150322363.60991856,141686786.09590915,133051208.58189972,124415631.0678903,115780053.55388086,107144476.03987142,98508898.525862,89873321.01185256,81237743.49784313,72602165.9838337,63966588.46982427,55331010.95581484,46695433.441805415,38059855.92779598,29424278.41378654,20788700.89977711
187253573.37678814,179009439.02483013,170765304.67287207,162521170.32091406,154277035.96895602,146032901.616998,137788767.26503995,129544632.91308191,121300498.5611239,113056364.20916586,104812229.85720782,96568095.50524978,88323961.15329176,80079826.80133373,71835692.44937569,63591558.09741765,55347423.74545962,47103289.393501595,38859155.04154356,30615020.68958552,22370886.33762749
181075653.3866591,173252778.97206363,165429904.55746812,157607030.14287266,149784155.72827718,141961281.3136817,134138406.89908622,126315532.48449074,118492658.06989527,110669783.65529978,102846909.2407043,95024034.82610881,87201160.41151334,79378285.99691786,71555411.58232237,63732537.16772689,55909662.75313141,48086788.33853594,40263913.92394046,32441039.509344976,24618165.094749495
172766495.8931615,165515754.44819644,158265013.00323138,151014271.5582663,143763530.11330125,136512788.66833615,129262047.2233711,122011305.77840604,114760564.33344097,107509822.8884759,100259081.44351083,93008339.99854577,85757598.5535807,78506857.10861562,71256115.66365056,64005374.218685485,56754632.77372042,49503891.32875536,42253149.88379028,35002408.43882521,27751666.993860144
170062291.5798386,162991139.6375364,155919987.6952342,148848835.752932,141777683.8106298,134706531.86832762,127635379.92602544,120564227.98372322,113493076.04142104,106421924.09911883,99350772.15681663,92279620.21451443,85208468.27221224,78137316.32991004,71066164.38760784,63995012.44530563,56923860.50300344,49852708.56070124,42781556.61839904,35710404.67609684,28639252.733794644
176144689.18980873,168650447.65150452,161156206.1132003,153661964.5748961,146167723.0365919,138673481.49828765,131179239.95998345,123684998.42167923,116190756.88337502,108696515.3450708,101202273.80676657,93708032.26846236,86213790.73015815,78719549.19185394,71225307.65354972,63731066.1152455,56236824.57694128,48742583.03863707,41248341.500332855,33754099.96202864,26259858.42372442
178654204.03086653,170982937.93083516,163311671.83080375,155640405.73077238,147969139.63074097,140297873.5307096,132626607.4306782,124955341.33064681,117284075.23061544,109612809.13058403,101941543.03055264,94270276.93052125,86599010.83048987,78927744.73045848,71256478.63042709,63585212.530395694,55913946.43036431,48242680.33033292,40571414.23030153,32900148.13027014,25228882.030238748
182414597.00243172,174485715.57560056,166556834.1487694,158627952.72193825,150699071.29510707,142770189.8682759,134841308.44144475,126912427.01461358,118983545.58778243,111054664.16095126,103125782.73412009,95196901.30728891,87268019.88045776,79339138.45362659,71410257.02679543,63481375.59996426,55552494.1731331,47623612.746301934,39694731.31947077,31765849.892639607,23836968.46580844
179935238.22401702,172164853.3395776,164394468.45513815,156624083.5706987,148853698.68625924,141083313.8018198,133312928.91738036,125542544.03294091,117772159.14850149,110001774.26406203,102231389.37962258,94461004.49518314,86690619.61074369,78920234.72630425,71149849.84186481,63379464.95742535,55609080.07298591,47838695.18854647,40068310.30410702,32297925.41966757,24527540.535228126
183986014.6190704,175933486.16887745,167880957.71868446,159828429.2684915,151775900.81829852,143723372.36810553,135670843.91791257,127618315.46771958,119565787.01752661,111513258.56733364,103460730.11714065,95408201.66694768,87355673.2167547,79303144.76656172,71250616.31636874,63198087.86617576,55145559.41598279,47093030.96578982,39040502.51559684,30987974.065403864,22935445.615210883
189866931.83489645,181425231.3324181,172983530.82993975,164541830.32746142,156100129.82498306,147658429.32250473,139216728.8200264,130775028.31754804,122333327.8150697,113891627.31259134,105449926.810113,97008226.30763465,88566525.8051563,80124825.30267797,71683124.80019963,63241424.29772127,54799723.79524293,46358023.29276459,37916322.790286236,29474622.287807893,21032921.785329547
186733252.00048876,178498778.11781058,170264304.2351324,162029830.35245425,153795356.46977603,145560882.58709785,137326408.70441967,129091934.82174149,120857460.93906333,112622987.05638514,104388513.17370695,96154039.29102877,87919565.4083506,79685091.52567242,71450617.64299424,63216143.760316044,54981669.87763787,46747195.99495969,38512722.11228151,30278248.229603328,22043774.346925143
184508193.5744501,176422427.91259316,168336662.25073618,160250896.58887923,152165130.92702228,144079365.2651653,135993599.60330835,127907833.94145137,119822068.27959442,111736302.61773746,103650536.95588048,95564771.29402351,87479005.63216656,79393239.9703096,71307474.30845264,63221708.64659567,55135942.98473871,47050177.32288175,38964411.66102478,30878645.99916782,22792880.337310854
180074708.10032114,172286970.40318897,164499232.70605677,156711495.0089246,148923757.31179243,141136019.61466023,133348281.91752808,125560544.22039588,117772806.52326371,109985068.82613152,102197331.12899934,94409593.43186715,86621855.73473498,78834118.0376028,71046380.34047063,63258642.64333843,55470904.94620626,47683167.24907408,39895429.551941894,32107691.85480971,24319954.157677528
180282218.16417435,172478708.38412777,164675198.60408118,156871688.8240346,149068179.04398802,141264669.26394144,133461159.48389485,125657649.70384827,117854139.92380169,110050630.14375511,102247120.36370851,94443610.58366193,86640100.80361535,78836591.02356876,71033081.24352218,63229571.463475585,55426061.68342901,47622551.90338243,39819042.12333584,32015532.343289256,24212022.56324267
180583552.36421162,172756211.1935058,164928870.02279994,157101528.8520941,149274187.68138826,141446846.5106824,133619505.3399766,125792164.16927074,117964822.99856491,110137481.82785906,102310140.6571532,94482799.48644736,86655458.31574154,78828117.1450357,71000775.97432986,63173434.803624004,55346093.632918164,47518752.46221233,39691411.291506484,31864070.12080064,24036728.9500948
177318605.3132313,169711217.9145686,162103830.51590592,154496443.11724323,146889055.71858054,139281668.31991786,131674280.92125517,124066893.52259247,116459506.1239298,108852118.7252671,101244731.3266044,93637343.92794171,86029956.52927902,78422569.13061634,70815181.73195365,63207794.33329095,55600406.93462827,47993019.53596558,40385632.13730288,32778244.738640197,25170857.339977507
170885425.2736,163741881.6186839,156598337.96376777,149454794.3088517,142311250.65393555,135167706.9990194,128024163.34410332,120880619.6891872,113737076.03427109,106593532.37935497,99449988.72443883,92306445.06952272,85162901.4146066,78019357.7596905,70875814.10477437,63732270.44985825,56588726.79494213,49445183.14002602,42301639.485109895,35158095.83019378,28014552.17527766
173289202.7274079,165973827.12524977,158658451.52309164,151343075.92093354,144027700.31877542,136712324.71661726,129396949.11445916,122081573.51230103,114766197.91014291,107450822.30798477,100135446.70582664,92820071.10366851,85504695.5015104,78189319.89935227,70873944.29719414,63558568.69503601,56243193.09287789,48927817.49071976,41612441.88856163,34297066.28640351,26981690.684245374
169049176.75913075,162034512.31687003,155019847.87460932,148005183.4323486,140990518.9900879,133975854.54782717,126961190.10556647,119946525.66330574,112931861.22104505,105917196.77878432,98902532.33652359,91887867.8942629,84873203.45200218,77858539.00974146,70843874.56748076,63829210.12522003,56814545.68295932,49799881.240698606,42785216.798437886,35770552.35617717,28755887.913916454
166634552.2321123,159785709.30296963,152936866.37382698,146088023.44468436,139239180.5155417,132390337.58639903,125541494.6572564,118692651.72811373,111843808.79897109,104994965.86982843,98146122.94068578,91297280.01154312,84448437.08240047,77599594.15325782,70750751.22411518,63901908.29497251,57053065.36582986,50204222.436687216,43355379.50754456,36506536.57840191,29657693.649259254
165359702.7125815,158596365.5523815,151833028.3921815,145069691.2319815,138306354.0717815,131543016.91158147,124779679.75138147,118016342.59118146,111253005.43098147,104489668.27078146,97726331.11058144,90962993.95038144,84199656.79018144,77436319.62998144,70672982.46978144,63909645.30958143,57146308.14938143,50382970.98918143,43619633.82898142,36856296.668781415,30092959.50858141
166024083.7929273,159212456.95557117,152400830.11821505,145589203.28085896,138777576.44350284,131965949.60614671,125154322.7687906,118342695.93143448,111531069.09407836,104719442.25672224,97907815.41936612,91096188.58201,84284561.7446539,77472934.90729778,70661308.06994165,63849681.23258553,57038054.395229414,50226427.5578733,43414800.72051718,36603173.88316106,29791547.04580494
174445741.2362749,167059339.64699507,159672938.0577152,152286536.46843538,144900134.87915555,137513733.2898757,130127331.70059586,122740930.11131601,115354528.52203618,107968126.93275633,100581725.34347647,93195323.75419664,85808922.1649168,78422520.57563697,71036118.98635712,63649717.39707727,56263315.80779743,48876914.218517594,41490512.62923775,34104111.0399579,26717709.45067806
177722079.196561,170117182.09665394,162512284.99674684,154907387.89683974,147302490.79693264,139697593.69702554,132092696.59711847,124487799.49721137,116882902.39730428,109278005.29739718,101673108.19749008,94068211.097583,86463313.99767591,78858416.89776881,71253519.79786173,63648622.697954625,56043725.59804754,48438828.49814045,40833931.398233354,33229034.29832626,25624137.198419165
182233469.27938744,174317664.99586508,166401860.71234268,158486056.4288203,150570252.1452979,142654447.86177552,134738643.57825315,126822839.29473075,118907035.01120837,110991230.72768599,103075426.44416359,95159622.16064121,87243817.87711883,79328013.59359644,71412209.31007406,63496405.026551664,55580600.74302928,47664796.4595069,39748992.17598451,31833187.892462123,23917383.608939737
180344258.62149546,172545930.76363468,164747602.9057739,156949275.04791313,149150947.19005233,141352619.33219156,133554291.4743308,125755963.61647001,117957635.75860924,110159307.90074845,102360980.04288766,94562652.18502688,86764324.32716611,78965996.46930532,71167668.61144455,63369340.75358376,55571012.895722985,47772685.037862204,39974357.18000142,32176029.32214064,24377701.46427986
178083489.87257352,170442932.8440628,162802375.81555206,155161818.7870413,147521261.75853056,139880704.7300198,132240147.70150907,124599590.67299832,116959033.64448759,109318476.61597684,101677919.58746609,94037362.55895536,86396805.5304446,78756248.50193387,71115691.47342312,63475134.44491238,55834577.41640164,48194020.3878909,40553463.35938015,32912906.33086941,25272349.302358665
180121549.21664906,172337126.07482153,164552702.93299398,156768279.79116642,148983856.64933887,141199433.50751132,133415010.3656838,125630587.22385624,117846164.0820287,110061740.94020115,102277317.7983736,94492894.65654606,86708471.51471852,78924048.37289096,71139625.23106343,63355202.08923587,55570778.947408326,47786355.80558078,40001932.663753234,32217509.521925688,24433086.380098138
183915306.84336326,175876343.44476974,167837380.04617617,159798416.64758265,151759453.2489891,143720489.85039553,135681526.45180202,127642563.05320847,119603599.65461494,111564636.25602138,103525672.85742784,95486709.45883429,87447746.06024076,79408782.66164722,71369819.26305367,63330855.864460126,55291892.46586658,47252929.06727304,39213965.6686795,31175002.270085957,23136038.871492412
180267727.2433408,172468625.856759,164669524.4701772,156870423.08359542,149071321.69701362,141272220.31043184,133473118.92385004,125674017.53726824,117874916.15068646,110075814.76410466,102276713.37752286,94477611.99094106,86678510.60435928,78879409.21777749,71080307.8311957,63281206.44461389,55482105.0580321,47683003.67145031,39883902.284868516,32084800.898286723,24285699.511704925
178948250.86404362,171231465.46698248,163514680.06992134,155797894.6728602,148081109.27579904,140364323.8787379,132647538.48167676,124930753.08461562,117213967.68755448,109497182.29049332,101780396.89343217,94063611.49637103,86346826.09930989,78630040.70224874,70913255.3051876,63196469.90812644,55479684.511065304,47762899.11400416,40046113.71694301,32329328.319881864,24612542.922820717
180325637.7633221,172514810.86118728,164703983.95905247,156893157.05691767,149082330.15478286,141271503.25264803,133460676.35051323,125649849.44837841,117839022.54624362,110028195.6441088,102217368.74197398,94406541.83983918,86595714.93770437,78784888.03556955,70974061.13343474,63163234.23129992,55352407.329165116,47541580.42703031,39730753.52489549,31919926.622760683,24109099.72062587
186317364.86977157,178100940.28398395,169884515.6981963,161668091.1124087,153451666.52662104,145235241.9408334,137018817.35504577,128802392.76925814,120585968.18347052,112369543.59768288,104153119.01189522,95936694.4261076,87720269.84031996,79503845.25453234,71287420.6687447,63070996.08295706,54854571.49716943,46638146.911381796,38421722.32559416,30205297.739806525,21988873.15401889
192253290.06999213,183644712.51299033,175036134.9559885,166427557.39898667,157818979.84198484,149210402.284983,140601824.7279812,131993247.17097938,123384669.61397757,114776092.05697574,106167514.49997391,97558936.9429721,88950359.38597028,80341781.82896845,71733204.27196664,63124626.71496481,54516049.157962985,45907471.60096116,37298894.04395934,28690316.48695752,20081738.929955695
198583994.88655946,189572252.88271067,180560510.87886184,171548768.87501305,162537026.87116423,153525284.8673154,144513542.86346662,135501800.8596178,126490058.85576901,117478316.85192019,108466574.84807138,99454832.84422258,90443090.84037377,81431348.83652496,72419606.83267616,63407864.82882734,54396122.82497853,45384380.821129724,36372638.81728091,27360896.813432105,18349154.809583295
205699368.37425622,196233942.92705274,186768517.47984922,177303092.03264573,167837666.58544222,158372241.1382387,148906815.6910352,139441390.2438317,129975964.7966282,120510539.34942469,111045113.90222119,101579688.45501769,92114263.00781418,82648837.56061068,73183412.11340718,63717986.66620366,54252561.21900016,44787135.77179666,35321710.32459315,25856284.877389647,16390859.43018614
209046113.0543161,199363249.29536042,189680385.5364047,179997521.777449,170314658.01849332,160631794.2595376,150948930.50058192,141266066.7416262,131583202.98267053,121900339.22371483,112217475.46475911,102534611.70580341,92851747.94684772,83168884.18789202,73486020.42893633,63803156.669980615,54120292.91102492,44437429.152069226,34754565.39311352,25071701.63415782,15388837.875202121
214968120.75422698,204917189.3648928,194866257.9755586,184815326.58622444,174764395.19689023,164713463.80755603,154662532.41822186,144611601.0288877,134560669.63955352,124509738.25021932,114458806.86088511,104407875.47155093,94356944.08221674,84306012.69288255,74255081.30354838,64204149.91421418,54153218.52487999,44102287.13554581,34051355.74621162,24000424.35687743,13949492.967543242
221984808.0315606,211510512.5691743,201036217.10678795,190561921.64440164,180087626.1820153,169613330.71962896,159139035.25724265,148664739.7948563,138190444.33247,127716148.87008366,117241853.40769732,106767557.945311,96293262.48292467,85818967.02053834,75344671.55815202,64870376.09576568,54396080.633379355,43921785.17099303,33447489.708606698,22973194.24622037,12498898.78383404
225237767.47248256,214560922.1496461,203884076.82680964,193207231.5039732,182530386.1811367,171853540.85830024,161176695.53546378,150499850.21262732,139823004.88979086,129146159.56695439,118469314.24411792,107792468.92128144,97115623.59844498,86438778.27560852,75761932.95277207,65085087.629935585,54408242.30709912,43731396.98426266,33054551.661426187,22377706.338589724,11700861.015753256
242695772.56852826,231025913.10498902,219356053.64144978,207686194.17791054,196016334.71437126,184346475.25083202,172676615.78729278,161006756.3237535,149336896.86021426,137667037.39667502,125997177.93313575,114327318.4695965,102657459.00605725,90987599.542518,79317740.07897875,67647880.61543949,55978021.15190024,44308161.688361,32638302.22482174,20968442.761282485,9298583.297743233
247565405.7058464,235595299.89095888,223625194.07607135,211655088.26118383,199684982.4462963,187714876.63140875,175744770.81652126,163774665.0016337,151804559.1867462,139834453.37185866,127864347.55697113,115894241.74208361,103924135.92719609,91954030.11230856,79983924.29742104,68013818.4825335,56043712.667645976,44073606.85275845,32103501.037870917,20133395.22298339,8163289.408095864
248547873.59997424,236492811.06396058,224437748.52794692,212382685.99193326,200327623.45591956,188272560.91990587,176217498.38389224,164162435.84787855,152107373.31186488,140052310.7758512,127997248.23983753,115942185.70382385,103887123.16781019,91832060.63179651,79776998.09578285,67721935.55976915,55666873.02375549,43611810.48774182,31556747.951728143,19501685.415714473,7446622.879700799
251411811.91945577,239180175.11368632,226948538.30791685,214716901.50214738,202485264.6963779,190253627.89060843,178021991.084839,165790354.2790695,153558717.47330007,141327080.6675306,129095443.86176111,116863807.05599165,104632170.25022218,92400533.44445272,80168896.63868326,67937259.83291377,55705623.02714431,43473986.22137485,31242349.415605377,19010712.60983591,6779075.804066445
249167747.5117926,237059069.8687714,224950392.22575015,212841714.58272895,200733036.93970773,188624359.29668647,176515681.65366527,164407004.01064402,152298326.36762282,140189648.7246016,128080971.08158036,115972293.43855913,103863615.7955379,91754938.15251668,79646260.50949547,67537582.86647423,55428905.22345301,43320227.58043178,31211549.937410552,19102872.29438933,6994194.651368102
251949978.565257,239672581.72236794,227395184.8794788,215117788.03658974,202840391.19370064,190562994.3508115,178285597.50792244,166008200.6650333,153730803.82214424,141453406.97925514,129176010.13636602,116898613.29347692,104621216.45058782,92343819.60769874,80066422.76480964,67789025.92192052,55511629.07903143,43234232.23614234,30956835.39325323,18679438.550364133,6402041.707475031
252497332.00754926,240177357.5585941,227857383.10963893,215537408.66068375,203217434.21172857,190897459.7627734,178577485.31381825,166257510.86486307,153937536.4159079,141617561.9669527,129297587.51799753,116977613.06904237,104657638.62008719,92337664.17113203,80017689.72217686,67697715.27322167,55377740.82426651,43057766.37531134,30737791.926356163,18417817.47740099,6097843.028445817
252505689.66829404,240180120.9879697,227854552.30764532,215528983.62732095,203203414.94699657,190877846.2666722,178552277.58634785,166226708.90602347,153901140.2256991,141575571.54537472,129250002.86505035,116924434.18472598,104598865.50440161,92273296.82407725,79947728.14375287,67622159.4634285,55296590.78310413,42971022.10277976,30645453.42245539,18319884.74213102,5994316.061806649
254606604.51312754,242161823.802432,229717043.09173644,217272262.3810409,204827481.6703453,192382700.95964974,179937920.2489542,167493139.53825864,155048358.8275631,142603578.11686754,130158797.40617196,117714016.69547641,105269235.98478086,92824455.2740853,80379674.56338975,67934893.85269418,55490113.14199863,43045332.43130307,30600551.720607508,18155771.009911954,5710990.299216394
258922856.0815477,246232794.0500976,233542732.0186475,220852669.9871974,208162607.95574728,195472545.92429712,182782483.89284703,170092421.8613969,157402359.82994682,144712297.7984967,132022235.76704657,119332173.73559646,106642111.70414634,93952049.67269623,81261987.64124613,68571925.609796,55881863.57834589,43191801.54689577,30501739.515445657,17811677.483995542,5121615.452545427
265946226.80121717,252859843.6326306,239773460.46404397,226687077.2954574,213600694.12687078,200514310.95828417,187427927.7896976,174341544.62111098,161255161.4525244,148168778.28393778,135082395.11535117,121996011.94676456,108909628.77817796,95823245.60959136,82736862.44100477,69650479.27241816,56564096.10383156,43477712.93524496,30391329.76665836,17304946.598071758,4218563.429485154
282189531.32192576,268237895.76257315,254286260.20322052,240334624.6438679,226382989.0845153,212431353.52516267,198479717.96581006,184528082.40645742,170576446.84710482,156624811.28775218,142673175.72839954,128721540.16904694,114769904.60969432,100818269.0503417,86866633.49098909,72914997.93163645,58963362.37228383,45011726.81293122,31060091.25357859,17108455.69422597,3156820.1348733474
285421607.4918982,271283122.4880807,257144637.4842631,243006152.48044556,228867667.476628,214729182.47281045,200590697.46899295,186452212.4651754,172313727.46135786,158175242.4575403,144036757.45372275,129898272.4499052,115759787.44608766,101621302.44227012,87482817.43845257,73344332.43463501,59205847.43081748,45067362.426999934,30928877.423182387,16790392.419364844,2651907.415547298
