Date,Last Price,Log Returns,Scaled Prices
2005-12-29,2218.16,0.005805400301047768,217.79763365899157
2005-12-28,2228.94,0.004848112754197521,218.85610486523638
2005-12-27,2226.89,-0.0009201428890413104,218.65481859688742
2005-12-23,2249.42,0.010066411956155272,220.8670037802543
2005-12-22,2246.49,-0.0013034070587746342,220.57931169915065
2005-12-21,2231.66,-0.006623294982768367,219.12317737738718
2005-12-20,2222.42,-0.004149010909099293,218.2159163434631
2005-12-19,2222.74,0.0001439768199805166,218.2473366390102
2005-12-16,2252.48,0.013291162360142503,221.167460356424
2005-12-15,2260.63,0.003611704061866118,221.96769600864056
2005-12-14,2262.59,0.0008666393068096793,222.1601453188669
2005-12-13,2265.0,0.0010645841286918486,222.3967794197064
2005-12-12,2260.95,-0.0017896799924865651,221.9991163041877
2005-12-09,2256.73,-0.0018682160876369344,221.58476115665962
2005-12-08,2246.46,-0.004561218960499248,220.57636604644313
2005-12-07,2252.01,0.002467506870546222,221.1213117973391
2005-12-06,2260.76,0.0038778891745971343,221.9804605037066
2005-12-05,2257.64,-0.0013810200495204424,221.6741126221218
2005-12-02,2273.37,0.00694329219945019,223.21861652511168
2005-12-01,2267.17,-0.0027309544033780804,222.60984829888554
2005-11-30,2232.82,-0.015266997123258673,219.23707594874566
2005-11-29,2232.71,-4.926626851562905e-05,219.2262752221513
2005-11-28,2239.37,0.002978482014454758,219.88021012322645
2005-11-25,2263.01,0.010501209245834659,222.20138445677256
2005-11-23,2259.98,-0.0013398218670696654,221.9038735333104
2005-11-22,2253.56,-0.002844775643782898,221.2735038538956
2005-11-21,2241.67,-0.005290064236196752,220.10604349747163
2005-11-18,2227.07,-0.00653430360599632,218.6724925131327
2005-11-17,2220.46,-0.0029724385745919,218.02346703323678
2005-11-16,2187.93,-0.014758490266374956,214.82939761402127
2005-11-15,2186.74,-0.0005440410496569979,214.7125533899553
2005-11-14,2200.95,0.006477235028533429,216.10781088909613
2005-11-11,2202.47,0.000690372510626308,216.25705729294515
2005-11-10,2196.68,-0.0026323282194585114,215.6885463203888
2005-11-09,2175.81,-0.009546120625670038,213.63935392017282
2005-11-08,2172.07,-0.0017203790916220747,213.27212921596544
2005-11-07,2178.24,0.0028365813641253,213.877951789484
2005-11-04,2169.43,-0.004052751040686441,213.01291177770136
2005-11-03,2160.22,-0.0042543918753852415,212.1085963964848
2005-11-02,2144.31,-0.007392246052645203,210.54641857724974
2005-11-01,2114.05,-0.014212283295543072,207.5752368795719
2005-10-31,2120.3,0.0029520490931786076,208.1889145269773
2005-10-28,2089.88,-0.014450940045967909,205.20202268152582
2005-10-27,2063.81,-0.012552858941903448,202.64225047866856
2005-10-26,2100.05,0.01740736485124799,206.2005989493839
2005-10-25,2109.45,0.004466096032484517,207.12357013108152
2005-10-24,2115.83,0.003019920501721442,207.75001227355295
2005-10-21,2082.21,-0.01601734084434647,204.44891747262997
2005-10-20,2068.11,-0.006794682938676875,203.06446070008346
2005-10-19,2091.24,0.011122044757486639,205.33555893760123
2005-10-18,2056.0,-0.016994843885495266,201.87539889047082
2005-10-17,2070.3,0.006931176719610307,203.2794933477343
2005-10-14,2064.83,-0.0026456257435826195,202.74240267072508
2005-10-13,2047.22,-0.008565123312037006,201.01330453139573
2005-10-12,2037.47,-0.004773933158807014,200.05596740144335
2005-10-11,2061.09,0.0115261269790659,202.37517796651775
2005-10-10,2078.92,0.008613559019852156,204.12587755903579
2005-10-07,2090.35,0.005482987973982389,205.24817124061073
2005-10-06,2084.08,-0.003004005200740684,204.63252982473367
2005-10-05,2103.02,0.009046896028569215,206.49221856743088
2005-10-04,2139.36,0.017132311985387345,210.0603858805047
2005-10-03,2155.43,0.007483520729717153,211.63827384751337
2005-09-30,2151.69,-0.0017366597354994855,211.271049143306
2005-09-29,2141.22,-0.004877819828272504,210.2430163483725
2005-09-28,2115.4,-0.012131840138348057,207.70779125141146
2005-09-27,2116.42,0.00048206210082302994,207.807943443468
2005-09-26,2121.46,0.0023785488858332495,208.30281309833572
2005-09-23,2116.84,-0.002180120250985398,207.84918258137367
2005-09-22,2110.78,-0.002866863223537693,207.25416073444939
2005-09-21,2106.64,-0.0019632862412566838,206.84766066080806
2005-09-20,2131.33,0.011651936819406511,209.27193283911825
2005-09-19,2145.26,0.006514559153498293,210.63969757965535
2005-09-16,2160.35,0.007009488450930981,212.12136089155086
2005-09-15,2146.15,-0.006594706357045854,210.7270852766459
2005-09-14,2149.33,0.0014806264170463322,211.0393244636457
2005-09-13,2171.75,0.010377128491364398,213.24070892041829
2005-09-12,2182.83,0.005088905892884818,214.3286366537385
2005-09-09,2175.51,-0.0033590802382947207,213.60989739309736
2005-09-08,2166.03,-0.004367120914087511,212.67907113751286
2005-09-07,2172.03,0.002766215232602946,213.26820167902207
2005-09-06,2166.86,-0.0023830991091140607,212.76056752908832
2005-09-02,2141.07,-0.011973410946473077,210.22828808483482
2005-09-01,2147.9,0.0031849165526692804,210.89891501791936
2005-08-31,2152.09,0.0019488423582985756,211.31032451273995
2005-08-30,2129.76,-0.010430165669807173,209.11777701409005
2005-08-29,2137.65,0.003697797488621655,209.89248367617458
2005-08-26,2120.77,-0.0079278645179971,208.23506308606215
2005-08-25,2134.37,0.006392290880927749,209.57042564681623
2005-08-24,2128.91,-0.0025614095181044905,209.0343168540429
2005-08-23,2137.25,0.003909844274185968,209.85320830674064
2005-08-22,2141.41,0.0019445346490821348,210.26167214885362
2005-08-19,2135.56,-0.002735583204074089,209.68726987088223
2005-08-18,2136.08,0.00024346621090185248,209.73832785114635
